unique_id,demographics,channel_preference,satisfaction_level,status,income_level,transaction_frequency,region
0,Sfax_Male,branch,0.44481600849379843,active,medium,7,Tunis
1,Sfax_Female,web,0.4416774859369138,active,medium,8,Sfax
2,Sousse_Male,web,0.3398180470928612,active,medium,7,Sousse
3,Sfax_Female,web,0.38192941652933915,active,low,8,Sousse
4,Djerba_Male,web,0.41871555545542916,active,high,9,Sousse
5,Djerba_Female,branch,0.3571511945388102,active,low,3,Djerba
6,Djerba_Male,branch,0.30977622812069666,active,low,4,Sfax
7,Sfax_Female,branch,0.3947187867340993,active,high,6,Sfax
8,Sfax_Male,mobile,0.5807012561736762,active,medium,2,Sfax
9,Sousse_Female,branch,0.6109601160773683,active,medium,9,Djerba
10,Sfax_Male,web,0.6813979105527739,active,high,3,Sfax
11,Sfax_Female,mobile,0.6681908247328969,active,high,10,Djerba
12,Sousse_Male,mobile,0.3575684757541506,active,medium,4,Sfax
13,Sousse_Female,mobile,0.6537937597822453,active,low,3,Sousse
14,Sousse_Male,web,0.6577508749441726,active,high,3,Sousse
15,Tunis_Female,mobile,0.5911673481869524,active,high,3,Sfax
16,Sousse_Male,web,0.32078450156227006,active,low,10,Sousse
17,Djerba_Female,mobile,0.5149961112219137,active,high,6,Sousse
18,Sousse_Male,branch,0.5677388217549115,active,high,3,Djerba
19,Djerba_Female,mobile,0.34891201003088695,active,low,9,Tunis
20,Sousse_Male,mobile,0.5227730554321334,active,high,10,Sfax
21,Tunis_Female,web,0.6126940195805901,active,low,6,Sfax
22,Djerba_Male,branch,0.5778178383899257,active,medium,7,Sfax
23,Sousse_Female,mobile,0.4207487800035131,active,low,10,Tunis
24,Sfax_Male,web,0.5980561604715069,active,high,5,Tunis
25,Sousse_Female,web,0.6904504878691539,active,high,8,Djerba
26,Djerba_Male,branch,0.405124089420734,active,low,2,Sfax
27,Sousse_Female,web,0.3192896228624733,active,low,2,Djerba
28,Djerba_Male,web,0.4249471720615334,active,high,6,Tunis
29,Sfax_Female,web,0.47030948696369923,active,medium,8,Sousse
30,Sfax_Male,web,0.5269835652781575,active,medium,4,Tunis
31,Sfax_Female,web,0.6019340751635837,active,low,5,Tunis
32,Djerba_Male,web,0.4539381031964039,active,medium,5,Djerba
33,Sfax_Female,mobile,0.421747160539955,active,low,2,Sousse
34,Tunis_Male,branch,0.5396732054372108,active,high,3,Sfax
35,Sfax_Female,web,0.5021987591837977,active,medium,9,Sousse
36,Djerba_Male,mobile,0.6005250967986093,active,low,5,Djerba
37,Tunis_Female,mobile,0.35109090863076653,active,medium,8,Djerba
38,Sousse_Male,branch,0.3419750592888231,active,high,10,Djerba
39,Sfax_Female,web,0.6715397479705763,active,medium,4,Sfax
40,Tunis_Male,mobile,0.5662229343787877,active,high,10,Tunis
41,Sousse_Female,mobile,0.5684408259631433,active,medium,9,Tunis
42,Tunis_Male,mobile,0.6656433735588662,active,low,9,Sousse
43,Tunis_Female,mobile,0.38044991220940916,active,high,6,Sousse
44,Sfax_Male,web,0.6581559405299875,active,high,3,Tunis
45,Sfax_Female,mobile,0.6577563347526769,active,high,3,Sousse
46,Sfax_Male,branch,0.5986282281452409,active,low,8,Tunis
47,Sfax_Female,web,0.35727190395352065,active,high,5,Sousse
48,Djerba_Male,mobile,0.6533761817669584,active,low,7,Sfax
49,Tunis_Female,branch,0.6885737844535457,active,low,7,Sfax
50,Sousse_Male,branch,0.6713784571030555,active,high,4,Tunis
51,Tunis_Female,web,0.3519142773637367,active,high,9,Djerba
52,Tunis_Male,mobile,0.4054093866713904,active,high,2,Tunis
53,Sfax_Female,web,0.665357250307237,active,high,8,Tunis
54,Sousse_Male,web,0.6948411673764288,active,medium,10,Djerba
55,Tunis_Female,mobile,0.42338137552606786,active,medium,4,Sousse
56,Sousse_Male,web,0.49142660838958263,active,high,4,Djerba
57,Sousse_Female,web,0.38454570987718845,active,medium,6,Djerba
58,Sousse_Male,mobile,0.6249292051357224,active,medium,7,Djerba
59,Tunis_Female,branch,0.41426766628522976,active,low,1,Sfax
60,Tunis_Male,branch,0.6873500264407538,active,low,10,Djerba
61,Sfax_Female,web,0.6869093566011522,active,medium,3,Sousse
62,Sousse_Male,branch,0.310480981233246,active,low,9,Djerba
63,Djerba_Female,web,0.45989106467000274,active,high,6,Sousse
64,Sfax_Male,web,0.3658623498717874,active,medium,3,Djerba
65,Sousse_Female,web,0.5968807267957331,active,high,6,Tunis
66,Djerba_Male,branch,0.5333280273439576,active,medium,5,Sfax
67,Sousse_Female,web,0.6122399245478162,active,medium,5,Sfax
68,Tunis_Male,branch,0.5674494242361401,active,high,9,Tunis
69,Sfax_Female,branch,0.47066011738978986,active,low,9,Tunis
70,Djerba_Male,web,0.6765027842381738,active,high,3,Sfax
71,Sfax_Female,web,0.49208503351634425,active,high,10,Sfax
72,Sfax_Male,web,0.5790402598514718,active,high,3,Tunis
73,Djerba_Female,web,0.6975249592772953,active,high,3,Djerba
74,Djerba_Male,branch,0.5962146048355599,active,low,1,Tunis
75,Tunis_Female,web,0.4486348959901143,active,medium,1,Djerba
76,Sfax_Male,web,0.3993141157575774,active,high,3,Sousse
77,Djerba_Female,web,0.5310280497796921,active,high,6,Sfax
78,Tunis_Male,web,0.6314584848775484,active,medium,3,Tunis
79,Sousse_Female,web,0.5566389634476105,active,high,5,Sfax
80,Tunis_Male,mobile,0.3132096180848886,active,high,4,Sousse
81,Djerba_Female,mobile,0.6927233565622324,active,low,1,Tunis
82,Djerba_Male,branch,0.5436436446287063,active,low,2,Sfax
83,Tunis_Female,web,0.3304399434989716,active,low,3,Sfax
84,Djerba_Male,branch,0.5557580294655742,active,low,6,Tunis
85,Sousse_Female,branch,0.5616627889164099,active,high,4,Sfax
86,Djerba_Male,mobile,0.6769128725618885,active,low,4,Djerba
87,Djerba_Female,mobile,0.46435639129535344,active,high,8,Sousse
88,Djerba_Male,mobile,0.6266019278182939,active,low,1,Sousse
89,Djerba_Female,mobile,0.4754864358953381,active,high,10,Djerba
90,Tunis_Male,mobile,0.4182541961745718,active,medium,7,Djerba
91,Sousse_Female,mobile,0.5510404312465969,active,medium,6,Djerba
92,Djerba_Male,web,0.5594205737136004,active,high,2,Djerba
93,Sousse_Female,mobile,0.5679406548420913,active,high,2,Sfax
94,Djerba_Male,web,0.5848089085127903,active,high,9,Djerba
95,Djerba_Female,web,0.4223541426710935,active,medium,2,Tunis
96,Sfax_Male,branch,0.35258220838426135,active,medium,4,Sousse
97,Tunis_Female,mobile,0.5021674475690877,active,low,9,Sfax
98,Djerba_Male,branch,0.43476905715570074,active,low,5,Djerba
99,Sousse_Female,mobile,0.43264550623682557,active,high,7,Tunis
100,Djerba_Male,branch,0.5616558942190533,active,high,6,Sfax
101,Sfax_Female,mobile,0.5715261224863976,active,high,1,Tunis
102,Sousse_Male,mobile,0.6855820225719083,active,high,8,Sousse
103,Sousse_Female,branch,0.5728546755567483,active,high,6,Sfax
104,Sfax_Male,mobile,0.36025362621606094,active,high,6,Tunis
105,Sfax_Female,web,0.5676366459005027,active,low,6,Tunis
106,Sfax_Male,branch,0.47879127484765693,active,high,10,Sousse
107,Djerba_Female,branch,0.6797796687707511,active,low,10,Tunis
108,Sousse_Male,mobile,0.686794905688483,active,medium,10,Sfax
109,Tunis_Female,mobile,0.5756961059270547,active,medium,10,Sfax
110,Sfax_Male,branch,0.348663360040651,active,high,10,Sfax
111,Djerba_Female,web,0.3596304453450322,active,high,5,Sousse
112,Sfax_Male,web,0.6325198454050078,active,medium,3,Djerba
113,Djerba_Female,web,0.45691239570355624,active,medium,10,Sousse
114,Sfax_Male,branch,0.4028119968519163,active,medium,8,Sfax
115,Tunis_Female,web,0.6898198845386359,active,high,6,Sousse
116,Djerba_Male,web,0.4396967073256313,active,low,10,Tunis
117,Sfax_Female,web,0.3969398370876512,active,low,9,Sousse
118,Djerba_Male,branch,0.5405178754049772,active,high,8,Tunis
119,Sousse_Female,web,0.42381840862236464,active,high,2,Sousse
120,Tunis_Male,mobile,0.37519826890778135,active,low,3,Tunis
121,Tunis_Female,web,0.6043851011357035,active,high,9,Tunis
122,Sousse_Male,branch,0.597178145177454,active,low,2,Djerba
123,Sfax_Female,mobile,0.3944487997273604,active,low,3,Tunis
124,Djerba_Male,web,0.45055398888647186,active,medium,2,Djerba
125,Sousse_Female,branch,0.42410650962401264,active,medium,1,Sousse
126,Sfax_Male,mobile,0.3983637916816507,active,high,5,Sousse
127,Tunis_Female,web,0.39991122252015665,active,low,6,Tunis
128,Djerba_Male,mobile,0.6487811551408079,active,high,10,Djerba
129,Djerba_Female,mobile,0.6835035775512864,active,low,1,Tunis
130,Djerba_Male,mobile,0.4066851476818276,active,high,4,Sousse
131,Sfax_Female,branch,0.423986001989024,active,low,3,Sousse
132,Tunis_Male,branch,0.5428991846089525,active,low,6,Sousse
133,Tunis_Female,web,0.4147391685849775,active,high,3,Sfax
134,Djerba_Male,web,0.5870088573813521,active,medium,10,Djerba
135,Djerba_Female,branch,0.4110532222306116,active,low,2,Sfax
136,Djerba_Male,web,0.5831091436622702,active,high,2,Tunis
137,Sfax_Female,mobile,0.38296458018316937,active,low,7,Sfax
138,Tunis_Male,web,0.6230707598562104,active,medium,7,Sfax
139,Sousse_Female,web,0.48243485251416557,active,high,10,Sfax
140,Sfax_Male,mobile,0.6075460645198176,active,low,7,Sousse
141,Djerba_Female,web,0.5351733225203206,active,medium,3,Tunis
142,Sfax_Male,mobile,0.3647216940415933,active,high,7,Djerba
143,Sfax_Female,web,0.4150070822711406,active,low,8,Sousse
144,Sfax_Male,mobile,0.4665928444517291,active,medium,8,Tunis
145,Sousse_Female,mobile,0.516594335477258,active,high,5,Djerba
146,Djerba_Male,branch,0.48978938807928196,active,high,8,Sousse
147,Sfax_Female,web,0.5989415051732221,active,high,6,Sfax
148,Sousse_Male,mobile,0.3953138242129673,active,low,1,Tunis
149,Sfax_Female,web,0.6736434375468673,active,low,4,Djerba
150,Sfax_Male,web,0.4993839416601978,active,low,2,Tunis
151,Sousse_Female,web,0.5964590924022546,active,low,10,Djerba
