agent_id,client_type,satisfaction_level,age,income,products,status,preferred_channel,governorate
1,retail,0.5183452252698171,47,1150.92,1,active,branch,Tunis
2,retail,0.7742559288863662,31,683.93,3,active,branch,Sfax
3,retail,0.5846298289988641,34,1347.2,2,active,branch,Tunis
4,retail,0.6809915924366436,32,515.54,1,active,branch,Sfax
5,retail,0.6433035402888371,31,842.75,3,active,branch,Tunis
6,retail,0.6736399209955873,35,1474.21,4,active,branch,Tunis
7,retail,0.7154750832502546,55,861.46,1,active,branch,Nabeul
8,retail,0.347248367789611,50,2888.08,2,active,branch,Ariana
9,retail,0.5610350456103665,27,500.47947503628325,1,active,branch,Nabeul
10,retail,0.6697181987097062,19,687.82,1,active,branch,Sfax
11,retail,0.5838331708006592,42,1498.76,1,active,branch,Tunis
12,retail,0.5570386311716536,28,820.62,1,active,branch,Tunis
13,retail,0.560576738339501,18,400.0,1,active,branch,Tunis
14,retail,0.6390310732212819,41,400.0,1,active,branch,Bizerte
15,retail,0.5883363679734426,52,1149.92,1,active,branch,Tunis
16,retail,0.5620961809195262,54,484.11,1,active,branch,Sfax
17,retail,0.7014982734659507,18,780.48,2,active,branch,Sfax
18,retail,0.779790261209353,34,599.92,1,active,branch,Manouba
19,retail,0.8449664568280157,36,892.23,4,active,branch,Ben Arous
20,retail,0.5956999448407353,51,1051.05,5,active,branch,Tunis
21,retail,0.6838674214670829,30,529.89,2,active,branch,Monastir
22,retail,0.6184018367964857,48,700.85,1,active,branch,Kairouan
23,retail,0.7529712374114186,48,964.86,2,active,branch,Sfax
24,retail,0.49616390414339834,51,630.6,1,active,branch,Monastir
25,retail,0.5934090316192626,29,1085.2,1,active,branch,Sfax
26,retail,0.5862573605220307,36,992.41,1,active,branch,Ariana
27,retail,0.6039446268138539,47,1353.85,1,active,branch,Ariana
28,retail,0.5655192482205964,31,787.33,1,active,branch,Sfax
29,retail,0.7011810704077356,42,736.04,3,active,branch,Sfax
30,retail,0.7412607942180225,40,982.29,1,active,branch,Ben Arous
31,retail,0.6585780010203532,47,742.91,1,active,branch,Manouba
32,retail,0.5945535362508182,47,1757.62,2,active,branch,Ariana
33,retail,0.5788067829804561,43,1047.86,1,active,branch,Sfax
34,retail,0.6525887645489563,51,1384.3,1,active,branch,Sfax
35,retail,0.6847993233255733,40,739.31,4,active,branch,Sfax
36,retail,0.6263499055819626,18,542.64,1,active,branch,Sousse
37,retail,0.6518309445722671,59,1059.7,2,active,branch,Ariana
38,retail,0.5244735136665827,55,1940.5,1,active,branch,Nabeul
39,retail,0.6321656386065564,47,661.32,3,active,branch,Kairouan
40,retail,0.683867814711212,52,1193.47,3,active,branch,Nabeul
41,retail,0.5886838839980967,50,1384.33,2,active,branch,Sousse
42,retail,0.6500505970956921,58,848.83,1,active,branch,Ariana
43,retail,0.7729645028691268,22,1500.54,2,active,branch,Sfax
44,retail,0.5680132025616715,31,801.94,1,active,branch,Monastir
45,retail,0.5224518781598845,18,648.79,1,active,branch,Tunis
46,retail,0.6248962594898642,31,2628.11,1,active,branch,Tunis
47,retail,0.8601431246768607,65,1382.22,5,active,branch,Tunis
48,retail,0.6942822546698378,43,2741.52,2,active,branch,Tunis
49,retail,0.7427394006426936,31,2102.79,4,active,branch,Tunis
50,retail,0.7165430117192157,19,560.11,2,active,branch,Sousse
51,retail,0.5747904405974915,58,666.82,1,active,branch,Mahdia
52,retail,0.5950566372287347,30,775.8,5,active,branch,Mahdia
53,retail,0.5572004688083931,47,1307.79,1,active,branch,Tunis
54,retail,0.8229012611976355,48,603.25,3,active,branch,Bizerte
55,retail,0.6887140174411361,24,876.1,2,active,branch,Mahdia
56,retail,0.6223963386280524,46,662.22,1,active,branch,Tunis
57,retail,0.6444009941055328,27,1533.34,1,active,branch,Tunis
58,retail,0.5150718872746811,19,680.52,1,active,branch,Mahdia
59,retail,0.6865350257956032,54,1247.56,2,active,branch,Monastir
60,retail,0.7037150098698528,21,1576.7323713657781,1,active,branch,Ariana
61,retail,0.6539383832880014,48,403.35,1,active,branch,Bizerte
62,retail,0.6218508703869178,26,1273.1,1,active,branch,Tunis
63,retail,0.6327863919387521,33,793.17,1,active,branch,Mahdia
64,retail,0.6075617512529174,31,840.54,1,active,branch,Nabeul
65,retail,0.6513334499951243,47,446.85,5,active,branch,Tunis
66,retail,0.5533148044316348,43,656.22,1,active,branch,Sfax
67,retail,0.7522678883273094,40,775.55,1,active,branch,Kairouan
68,retail,0.6874381184990583,34,1512.200624262366,1,active,branch,Ariana
69,retail,0.6491829143447734,48,470.07,3,active,branch,Ariana
70,retail,0.6030993926499914,29,1375.05,1,active,branch,Bizerte
71,retail,0.7026123659587855,29,1244.32,2,active,branch,Monastir
72,retail,0.7254631728077497,45,888.21,3,active,branch,Manouba
73,retail,0.5762057707668274,30,1972.37,1,active,branch,Tunis
74,retail,0.6383781250659497,34,1299.04,1,active,branch,Bizerte
75,retail,0.5951543555462803,21,750.27,1,active,branch,Monastir
76,retail,0.6237252725610358,53,1674.98,1,active,branch,Sfax
77,retail,0.7600734014421332,55,899.74,3,active,branch,Ariana
78,retail,0.6051227913697227,27,570.43,4,active,branch,Sousse
79,retail,0.7259565145740291,41,1601.63,1,active,branch,Tunis
80,retail,0.6096746754771029,18,714.8,1,active,branch,Kairouan
81,retail,0.6932393020508354,41,1160.08,1,active,branch,Tunis
82,retail,0.6687924411183276,64,468.99,2,active,branch,Sousse
83,retail,0.6437961196812915,36,957.34,1,active,branch,Sousse
84,retail,0.6066431627546158,42,1050.17,2,active,branch,Manouba
85,retail,0.7062751810489118,30,2258.39,1,active,branch,Tunis
86,retail,0.8158187772782677,41,892.07,2,active,branch,Gafsa
87,retail,0.5873907555857313,44,903.04,1,active,branch,Sousse
88,retail,0.6641515098748751,45,1178.64,2,active,branch,Sousse
89,retail,0.644399578782685,26,1557.73,1,active,branch,Tunis
90,retail,0.6236782777397665,41,2317.84,3,active,branch,Tunis
91,retail,0.6092158211033332,27,776.01,1,active,branch,Sfax
92,retail,0.7136602343082957,27,845.95,2,active,branch,Sousse
93,retail,0.6582501678911371,34,604.98,1,active,branch,Tunis
94,retail,0.5084098469448062,38,1895.83,1,active,branch,Gafsa
95,retail,0.6890942412370527,37,707.32,1,active,branch,Manouba
96,retail,0.7942578909064267,33,911.7269943132752,5,active,branch,Tunis
97,retail,0.5973804293308693,50,1775.4,1,active,branch,Ariana
98,retail,0.6441936938064375,66,1385.29,1,active,branch,Tunis
99,retail,0.6925294169071419,41,1583.2,1,active,branch,Monastir
100,retail,0.628579796237212,26,552.04,2,active,branch,Monastir
101,retail,0.5201820381426505,56,1771.11,1,active,branch,Tunis
102,retail,0.5931936344294282,54,806.29,3,active,branch,Bizerte
103,retail,0.5897403193240714,49,1439.81,2,active,branch,Sfax
104,retail,0.6496279029696432,36,841.81,2,active,branch,Sousse
105,retail,0.6023247268042545,24,1941.3870545934042,1,active,branch,Sfax
106,retail,0.5715365689538107,60,1714.28,1,active,branch,Sousse
107,retail,0.7937653723291805,35,1049.11,3,active,branch,Kairouan
108,retail,0.6086368710088044,29,1295.11,1,active,branch,Ariana
109,retail,0.6184335634761267,54,760.73,1,active,branch,Sfax
110,retail,0.849648942457965,19,823.67,3,active,branch,Sousse
111,retail,0.5841919184352629,45,654.36,1,active,branch,Sousse
112,retail,0.6505703495711749,54,656.08,1,active,branch,Sfax
113,retail,0.720411135025813,49,770.78,4,active,branch,Sousse
114,retail,0.6915019950972308,45,400.0,1,active,branch,Sfax
115,retail,0.6809957533889437,49,1367.74,2,active,branch,Sfax
116,retail,0.6824053834854502,26,758.37,1,active,branch,Sousse
117,retail,0.5455495306081816,45,820.45,1,active,branch,Tunis
118,retail,0.582749707408915,47,710.94,3,active,branch,Manouba
119,retail,0.6298322769537336,23,1814.9643723395197,2,active,branch,Ariana
120,retail,0.6322231014128328,43,1463.08,2,active,branch,Tunis
121,retail,0.7594094467703272,39,1351.08,3,active,branch,Tunis
122,retail,0.6117116198642847,31,615.9,1,active,branch,Ben Arous
123,retail,0.6523499852136412,39,1640.08,1,active,branch,Sfax
124,retail,0.6464917798406339,66,838.12,1,active,branch,Manouba
125,retail,0.6337512721983865,36,1468.29,3,active,branch,Tunis
126,retail,0.7787651003277366,43,489.0,2,active,branch,Sfax
127,retail,0.6658719420750501,52,400.0,1,active,branch,Monastir
128,retail,0.7556651894592595,18,1782.84,1,active,branch,Ben Arous
129,retail,0.6607453573481863,43,698.64,1,active,branch,Ben Arous
130,retail,0.5849979030378278,36,743.0,1,active,branch,Sousse
131,retail,0.6097826900953914,47,499.17,1,active,branch,Manouba
132,retail,0.7046581299887333,41,2299.08,2,active,branch,Tunis
133,retail,0.6490388859875384,56,1964.62,1,active,branch,Tunis
134,retail,0.6372840227425891,43,997.15,3,active,branch,Nabeul
135,retail,0.6541398993603301,37,1577.39,1,active,branch,Tunis
136,retail,0.6045619233438516,24,1043.25,1,active,branch,Ben Arous
137,retail,0.5652114349124113,18,1485.11,1,active,branch,Sousse
138,retail,0.7130397822211004,44,703.74,2,active,branch,Sousse
139,retail,0.6780671078858891,41,543.74,1,active,branch,Sousse
140,retail,0.6417749789918117,40,1395.14,1,active,branch,Ariana
141,retail,0.6231385934800583,48,750.15,1,active,branch,Tunis
142,retail,0.6469626676512862,59,1045.94,1,active,branch,Ariana
143,retail,0.5736575639407008,50,1139.35,1,active,branch,Ariana
144,retail,0.6281384695413013,38,746.05,1,active,branch,Sfax
145,retail,0.5650176032663496,40,2079.04,1,active,branch,Sousse
146,retail,0.6982682810834482,33,2391.17,2,active,branch,Tunis
147,retail,0.6597194450671594,34,783.16,1,active,branch,Tunis
148,retail,0.8505457641168929,57,416.18,5,active,branch,Ben Arous
149,retail,0.7544928365215956,44,1523.19,6,active,branch,Mahdia
150,retail,0.6301447253109431,33,1408.05,2,active,branch,Tunis
151,retail,0.6360853163090889,22,1662.12,1,active,branch,Tunis
